,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Indiana,Big Ten,,27,7,83.4,65.8,17.62,,12.41,,16.17,13.85,30.03,,,
2,Kansas,Big 8,,27,5,84.5,68.1,16.41,,9.82,,15.65,9.6,25.25,,,
3,Duke,ACC,,34,2,88,72.6,15.33,,10.18,,18.16,6.52,24.68,,,
4,Ohio State,Big Ten,,26,6,80.6,66.8,13.81,,10.58,,12.72,11.61,24.33,,,
5,Arizona,Pac-10,,24,7,84.8,68.8,15.97,,8.18,,15.59,8.56,24.15,,,
6,Cincinnati,GMWC,,29,5,79,63.1,15.85,,5.93,,8.73,12.94,21.67,,,
7,Oklahoma State,Big 8,,28,8,75.7,63.1,12.61,,10.77,,5.93,15.59,21.52,,,
8,Kentucky,SEC (East),,29,7,85.7,74.4,11.28,,9.59,,16.13,4.7,20.84,,,
9,Louisiana State,SEC (West),,21,10,87.5,75.9,11.58,,8.64,,15.65,4.57,20.22,,,
10,UCLA,Pac-10,,28,5,84.4,73.1,11.33,,9.81,,14.57,5.34,19.9,,,
11,Arkansas,SEC (West),,26,8,89.8,76.9,12.94,,8.2,,17.03,2.17,19.2,,,
12,Oklahoma,Big 8,,21,9,94.6,82,12.63,,8.62,,21.28,-2.26,19.03,,,
13,Michigan,Big Ten,,25,9,77.9,71.4,6.5,,12.25,,10.59,8.16,18.75,,,
14,Nevada-Las Vegas,Big West,,26,2,80,65,14.96,,3.71,,6.7,11.49,18.19,,,
15,North Carolina,ACC,,23,10,83.5,75.6,7.94,,10.14,,14.22,3.8,18.02,,,
16,Missouri,Big 8,,21,9,79.4,69.8,9.57,,9.69,,8.75,9.25,18,,,
17,Iowa,Big Ten,,19,11,81.1,72,9.07,,8.99,,12.06,5.86,17.92,,,
18,Michigan State,Big Ten,,22,8,74,69,4.97,,12.72,,6.62,11.07,17.69,,,
19,Georgia Tech,ACC,,23,12,80.4,74.5,5.86,,10.62,,11.59,4.89,16.48,,,
20,Massachusetts,A-10,,30,5,82.4,69.6,12.8,,4.71,,9.58,6.82,16.39,,,
21,Stanford,Pac-10,,18,11,75.7,68,7.72,,8.19,,6.84,9.07,15.91,,,
22,St. John's (NY),Big East,,19,11,71.4,65.1,6.27,,9.33,,3.41,12.16,15.57,,,
23,Connecticut,Big East,,20,10,79,71.1,7.93,,7.09,,10.45,4.57,15.02,,,
24,Brigham Young,WAC,,25,7,80.2,69.6,10.63,,3.97,,10.71,3.89,14.59,,,
