school,season,prev winScore,winScore,prev scoreDiff,scoreDiff
Cornell,2009,1,1,-24,-19
New Mexico State,2014,1,1,-20,-4
Stanford,1996,3,3,-20,3
Illinois,1987,3,1,22,-1
Cincinnati,1999,3,3,2,14
Duke,2011,127,7,87,28
Florida,1989,3,1,-20,-22
Florida,2013,15,15,66,38
Arizona,2014,7,15,37,37
Arkansas,1989,1,3,-8,10
Duke,2006,7,7,9,21
Texas,2012,3,1,3,-6
UCLA,1992,1,15,-5,16
Temple,2000,15,3,18,24
Gonzaga,2014,3,3,0,-15
Oklahoma State,2015,1,1,-8,-6
Missouri,1995,15,3,26,4
Manhattan,2004,1,3,-11,11
Iowa State,2015,7,1,15,-1
Indiana,1990,7,1,24,-2
DePaul,1992,1,1,-17,-8
Colorado,2013,3,1,-13,-8
California,1994,7,1,-10,-4
Arizona,1993,1,1,-7,-3
New Mexico,1994,1,1,-14,-3
Wofford,2011,1,1,-4,-8
North Carolina A&T,1988,1,1,-17,-14
Kentucky,1998,63,127,76,80
Purdue,2012,3,3,4,0
Temple,2011,1,3,-13,-5
Kansas,1991,3,63,7,46
Michigan State,2009,7,63,4,29
Texas,2016,1,1,-8,-3
Oklahoma,2001,3,1,10,-2
Syracuse,1992,1,3,-4,2
California-Santa Barbara,2011,1,1,-17,-28
Vanderbilt,1989,7,1,-4,-16
Green Bay,1996,1,1,-1,-13
Texas,1990,3,15,-13,23
Maryland,1995,7,7,9,28
Pepperdine,1986,1,1,-13,-5
Brigham Young,2008,1,1,-2,-5
Georgetown,1991,3,3,15,2
Syracuse,2004,127,7,54,-2
Michigan,2013,1,63,-5,61
Belmont,2012,1,1,-14,-15
UAB,1987,3,1,-16,-22
Richmond,1991,1,3,-35,-9
Pittsburgh,1988,3,3,22,12
Louisiana State,1988,15,1,20,-3
Connecticut,2006,3,15,3,21
Temple,1992,15,1,36,-7
Arkansas,1999,3,3,3,4
Connecticut,2000,127,3,71,-6
Memphis,2013,1,3,-7,-20
Albany,2014,1,1,-12,-5
Santa Clara,1996,1,3,-8,-13
San Diego State,2014,3,7,5,17
Duke,1992,127,127,84,75
Massachusetts,1993,7,3,23,-11
Indiana,1999,3,3,-3,-5
Nevada-Las Vegas,1990,15,127,5,112
Washington,2006,7,7,15,11
Fresno State,2001,1,3,-10,-4
Louisville,2012,1,31,-1,19
Marquette,1994,1,7,-12,24
Valparaiso,1999,7,1,1,-22
Purdue,1997,3,3,-5,-7
Ohio State,2002,1,3,-9,-11
Pennsylvania,1995,3,1,-2,-6
Oklahoma State,1994,3,3,-3,8
Florida,2000,7,63,21,38
Arizona,2004,15,1,44,-4
Arizona,1998,127,15,32,55
Michigan State,2014,7,15,23,18
North Carolina,2008,15,31,33,83
Tulsa,1987,1,1,-19,-5
Cincinnati,2005,3,3,-21,3
Boston College,1997,3,3,-1,3
Kansas,2001,3,7,-1,37
Oregon,2016,3,15,-1,46
Ohio State,2007,3,63,-10,43
Oklahoma State,2000,3,15,1,18
Kansas,2002,7,31,37,47
Mississippi,1998,1,1,-22,-1
Clemson,2009,1,1,-6,-3
Illinois,2001,3,15,-7,70
Virginia Commonwealth,2016,1,3,-3,4
Georgetown,2008,31,3,38,15
Syracuse,2013,15,31,17,75
Notre Dame,2002,3,3,9,12
Michigan,1988,3,7,3,19
Vanderbilt,2008,7,1,36,-21
Texas Tech,2005,3,7,-2,9
Villanova,2016,3,127,38,124
Michigan,1994,63,15,43,8
Stanford,2008,1,7,-20,5
Arkansas,1995,127,63,67,11
Duke,1999,15,63,53,123
Memphis,2004,1,3,-13,-1
Florida,2001,63,3,38,-8
Purdue,2009,3,7,4,-5
Valparaiso,2000,1,1,-22,-27
Wisconsin,2016,63,7,37,2
Duke,2000,63,7,123,23
Wisconsin,2006,15,1,17,-19
Colorado,2014,1,1,-8,-29
Arkansas-Little Rock,1990,1,1,-5,-30
Indiana,2000,3,1,-5,-20
Texas-El Paso,2005,1,1,-3,-6
Gonzaga,2002,7,1,3,-7
New Mexico State,1994,3,1,-23,-10
Marquette,2003,1,31,-2,-3
Kentucky,2008,3,1,-3,-8
"St. Joseph's, Pennsylvania",2004,1,15,-2,26
Southern Illinois,1994,1,1,-35,-14
Brigham Young,2004,1,1,-5,-5
Texas,2003,7,31,15,33
DePaul,1988,7,3,17,13
Louisiana-Monroe,1993,1,1,-30,-13
North Carolina,1998,31,31,46,66
Wisconsin,2005,3,15,8,17
Michigan State,1991,7,3,7,1
Kentucky,1986,7,15,-5,30
Iowa State,2014,3,7,15,15
Alabama,2004,1,15,-5,-3
Cincinnati,1997,15,3,25,16
Arizona,2001,3,63,17,71
Kansas,1995,7,7,35,10
Baylor,2015,7,1,27,-1
Tennessee,2001,7,1,14,-7
Navy,1986,3,15,18,11
Georgetown,1992,3,3,2,5
Syracuse,2010,7,7,13,41
Alabama,1987,7,7,14,21
Southern,1989,1,1,-15,-14
Kent State,2002,3,15,-19,14
Louisville,1993,3,7,7,8
Stanford,2001,3,15,12,35
Illinois,1988,1,3,-1,6
Connecticut,1992,7,3,19,-2
Texas-El Paso,1989,1,3,-16,-12
Notre Dame,1989,1,3,-8,9
"Xavier, Ohio",2003,3,3,-1,-1
Seton Hall,1989,3,63,-13,75
Pittsburgh,2008,7,3,17,8
Tennessee,1999,1,3,-1,-20
Western Kentucky,2013,1,1,-14,-7
Temple,1994,15,3,28,13
Providence,2016,1,3,-13,-18
Memphis,1993,15,1,-15,-3
Villanova,1986,127,3,30,4
Davidson,2013,1,1,-7,-1
East Tennessee State,1990,1,1,-1,-16
Gonzaga,2009,1,7,-6,-6
Northern Iowa,2005,1,1,-5,-5
Oklahoma,2016,7,31,11,0
Indiana,1987,1,127,-4,63
Boston College,2006,3,7,12,24
